Membership No  Date Joined  Active  
    92997      2015-5-3     yes   
    99561      2018-5-7     yes   
    92654      2018-1-16    no    
    93765      2020-9-13    no    
    13477      2019-12-25   no    
    35988      2017-10-6    no    
    98294      2019-2-19    no    
    87882      2016-12-23   no    
    74365      2017-4-16    no    
    79195      2018-3-8     yes   
    84317      2016-11-11   yes   
    32082      2018-1-15    yes   
    54239      2019-2-25    no    
    64566      2018-3-19    no    
    33418      2018-11-7    no    
    49988      2019-5-22    no    
    32271      2017-5-10    no    
    12892      2018-2-12    no    
    19164      2019-10-21   yes   
    21542      2018-7-12    yes   
