Membership No  Date Joined  Active  
    53687      2016-11-14   no    
    25009      2016-3-4     no    
    31713      2016-3-11    no    
    87994      2020-3-21    yes   
    97752      2016-4-4     no    
    99257      2016-6-14    yes   
    62880      2015-1-21    no    
    92072      2015-10-1    yes   
    80795      2020-5-14    yes   
    49534      2015-4-6     no    
    32544      2016-1-2     no    
    78969      2018-7-16    no    
    38006      2015-1-11    yes   
    59753      2015-1-17    yes   
    89572      2017-7-25    yes   
    43828      2015-4-20    no    
    14181      2016-2-18    yes   
    62346      2016-6-5     yes   
    65616      2016-8-24    yes   
    33111      2016-1-20    no    
